zao,zhong,wan,times,label
7.2,16.1,14.66,9,0
9.17,13.28,10.94,14,0
9.12,16.17,14.07,13,0
11.83,17.4,12.17,14,0
6.3,21.0,17.5,10,0
5.75,18.11,13.5,13,0
13.5,18.1,12.82,11,0
7.0,12.96,12.1,13,0
7.67,11.6,18.84,15,0
6.5,11.28,10.51,14,0
0.0,9.91,10.64,12,0
6.5,9.29,10.73,15,0
0.0,10.59,14.1,12,0
27.0,12.06,9.92,12,0
2.0,10.75,7.0,7,0
6.52,6.0,0.0,7,0
4.55,8.8,9.0,8,0
4.5,12.0,9.5,8,0
4.6,9.88,8.75,11,0
5.75,7.75,9.5,8,0
5.3,11.0,8.75,8,0
5.17,11.62,9.75,11,0
5.5,14.17,10.5,11,0
5.3,11.0,10.33,9,0
4.7,11.0,9.17,10,0
5.5,10.0,9.5,11,0
5.67,16.0,7.5,8,0
5.32,12.75,9.5,10,0
7.33,12.5,7.33,8,0
5.83,10.12,9.5,9,0
6.36,11.0,11.0,11,0
5.75,13.0,19.33,10,0
6.29,13.0,10.0,9,0
5.08,11.0,10.0,9,0
5.07,9.88,10.33,14,0
4.38,9.5,9.17,9,0
5.25,12.0,10.5,8,0
5.75,9.2,0.0,8,0
3.4,0.0,9.0,7,0
5.12,10.33,8.25,9,0
4.5,9.9,10.0,8,0
0.0,10.5,8.8,7,0
6.0,9.12,10.67,11,0
9.0,23.0,8.0,10,0
4.75,12.0,15.5,10,0
7.0,10.0,10.0,8,0
7.52,7.67,10.0,11,0
5.25,11.75,12.0,9,0
7.5,18.0,20.0,10,0
8.0,21.43,14.94,17,0
13.3,18.37,12.3,17,0
9.87,26.21,16.28,16,0
12.9,19.67,17.73,19,0
12.25,25.57,16.76,18,0
10.5,16.58,16.27,15,0
10.0,14.75,15.21,14,0
14.35,26.78,29.75,8,0
15.48,25.27,9.0,11,0
14.75,17.43,17.25,12,0
12.46,28.6,15.0,11,0
5.01,44.1,30.0,10,0
11.71,15.2,20.2,9,0
6.83,16.55,11.9,15,0
15.9,12.45,15.46,13,0
7.36,9.83,12.2,15,0
0.0,5.25,5.03,7,0
3.5,10.5,7.62,9,0
3.58,10.25,3.0,11,0
2.93,11.28,0.0,11,1
3.75,11.34,4.5,10,0
